Run Number,Score,Move Count,Max Tile,Win
1,1080,361,512,False
2,1378,445,1024,False
3,1090,361,512,False
4,524,174,256,False
5,840,279,512,False
6,624,209,256,False
7,906,315,512,False
8,422,139,256,False
9,902,300,512,False
10,606,203,256,False
11,544,182,256,False
12,1146,382,512,False
13,572,192,256,False
14,1100,363,512,False
15,1512,510,1024,False
16,818,273,512,False
17,912,315,512,False
18,952,320,512,False
19,496,159,256,False
20,584,198,256,False
21,946,320,512,False
22,518,169,256,False
23,1086,366,512,False
24,558,186,256,False
25,1120,373,512,False
26,1682,553,1024,False
27,562,179,256,False
28,854,280,512,False
29,502,156,256,False
30,826,275,512,False
31,548,185,256,False
32,1050,345,512,False
33,802,257,512,False
34,932,313,512,False
35,960,319,512,False
36,1054,346,512,False
37,592,195,256,False
38,446,150,256,False
39,626,208,256,False
40,588,197,256,False
41,582,194,256,False
42,542,173,256,False
43,550,175,256,False
44,344,113,128,False
45,568,185,256,False
46,700,228,512,False
47,450,146,256,False
48,536,174,256,False
49,830,270,512,False
50,576,195,256,False
51,580,189,256,False
52,436,148,256,False
53,1532,500,1024,False
54,864,280,512,False
55,314,108,128,False
56,578,185,256,False
57,696,232,512,False
58,1012,334,512,False
59,748,246,512,False
60,578,189,256,False
61,898,293,512,False
62,1020,341,512,False
63,910,308,512,False
64,816,278,512,False
65,854,279,512,False
66,538,179,256,False
67,470,148,256,False
68,570,190,256,False
69,1066,345,512,False
70,960,323,512,False
71,620,218,256,False
72,1000,326,512,False
73,546,179,256,False
74,828,285,512,False
75,1026,344,512,False
76,1468,471,1024,False
77,820,254,512,False
78,958,329,512,False
79,472,153,256,False
80,540,173,256,False
81,1060,355,512,False
82,1032,339,512,False
83,1076,361,512,False
84,1186,385,512,False
85,834,269,512,False
86,586,196,256,False
87,846,275,512,False
88,562,185,256,False
89,624,201,256,False
90,1046,346,512,False
91,786,263,512,False
92,820,282,512,False
93,670,227,512,False
94,992,329,512,False
95,1040,344,512,False
96,838,273,512,False
97,1042,353,512,False
98,894,309,512,False
99,566,179,256,False
100,580,192,256,False
101,918,301,512,False
102,1076,356,512,False
103,578,188,256,False
104,1082,356,512,False
105,560,186,256,False
106,524,169,256,False
107,852,282,512,False
108,208,65,64,False
109,1002,329,512,False
110,584,199,256,False
111,794,267,512,False
112,1098,362,512,False
113,1406,470,1024,False
114,562,183,256,False
115,1526,502,1024,False
116,1070,346,512,False
117,1142,385,512,False
118,1038,350,512,False
119,970,319,512,False
120,586,184,256,False
121,946,315,512,False
122,620,219,256,False
123,574,187,256,False
124,852,287,512,False
125,916,296,512,False
126,536,174,256,False
127,562,186,256,False
128,572,191,256,False
129,964,325,512,False
130,1014,339,512,False
131,824,275,512,False
132,948,310,512,False
133,1008,340,512,False
134,1572,518,1024,False
135,942,307,512,False
136,988,328,512,False
137,902,302,512,False
138,702,229,512,False
139,566,192,256,False
140,920,314,512,False
141,846,272,512,False
142,710,228,512,False
143,680,218,256,False
144,666,224,256,False
145,608,203,256,False
146,518,166,256,False
147,972,313,512,False
148,690,227,512,False
149,658,230,512,False
150,1062,350,512,False
151,618,195,256,False
152,1048,347,512,False
153,604,192,256,False
154,904,307,512,False
155,1122,375,512,False
156,586,191,256,False
157,502,157,256,False
158,974,313,512,False
159,676,218,512,False
160,1536,520,1024,False
161,1020,337,512,False
162,1374,447,1024,False
163,680,224,512,False
164,854,286,512,False
165,1028,344,512,False
166,1040,343,512,False
167,522,174,256,False
168,294,97,128,False
169,538,177,256,False
170,624,202,256,False
171,630,208,512,False
172,486,156,256,False
173,910,304,512,False
174,300,101,128,False
175,782,248,512,False
176,664,216,256,False
177,1042,343,512,False
178,1038,351,512,False
179,770,251,512,False
180,966,317,512,False
181,862,282,512,False
182,570,187,256,False
183,958,325,512,False
184,838,276,512,False
185,532,168,256,False
186,1042,342,512,False
187,744,247,512,False
188,1362,455,1024,False
189,778,262,512,False
190,678,230,256,False
191,1178,396,512,False
192,1312,447,1024,False
193,804,262,512,False
194,528,173,256,False
195,590,198,256,False
196,966,325,512,False
197,1140,382,512,False
198,856,280,512,False
199,1580,522,1024,False
200,992,324,512,False
201,310,104,128,False
202,1010,341,512,False
203,550,180,256,False
204,1086,355,512,False
205,596,200,256,False
206,1070,358,512,False
207,438,144,256,False
208,896,288,512,False
209,1148,369,512,False
210,1890,644,1024,False
211,982,328,512,False
212,480,166,256,False
213,1044,345,512,False
214,826,271,512,False
215,1050,344,512,False
216,632,207,512,False
217,936,306,512,False
218,1580,517,1024,False
219,1808,604,1024,False
220,850,277,512,False
221,668,225,512,False
222,1076,356,512,False
223,782,258,512,False
224,942,323,512,False
225,604,203,256,False
226,1028,336,512,False
227,956,310,512,False
228,1574,530,1024,False
229,448,147,256,False
230,1108,356,512,False
231,802,262,512,False
232,806,267,512,False
233,840,278,512,False
234,1522,499,1024,False
235,568,192,256,False
236,614,205,256,False
237,564,182,256,False
238,1000,343,512,False
239,538,179,256,False
240,934,315,512,False
241,834,267,512,False
242,822,279,512,False
243,950,323,512,False
244,456,143,256,False
245,558,191,256,False
246,1600,519,1024,False
247,796,261,512,False
248,578,186,256,False
249,308,107,128,False
250,1072,358,512,False
