Run Number,Score,Move Count,Max Tile,Win
1,972,322,512,False
2,822,267,512,False
3,676,219,512,False
4,1086,368,512,False
5,578,197,256,False
6,484,164,256,False
7,1050,345,512,False
8,602,201,256,False
9,572,192,256,False
10,904,296,512,False
11,610,201,256,False
12,838,275,512,False
13,1056,349,512,False
14,1030,344,512,False
15,1118,362,512,False
16,1062,356,512,False
17,522,172,256,False
18,1086,362,512,False
19,770,254,512,False
20,1046,348,512,False
21,558,182,256,False
22,1074,352,512,False
23,960,318,512,False
24,794,270,512,False
25,1090,361,512,False
26,502,173,256,False
27,1232,409,1024,False
28,894,291,512,False
29,1580,541,1024,False
30,1502,492,1024,False
31,558,185,256,False
32,542,175,256,False
33,784,266,512,False
34,1100,367,512,False
35,194,59,64,False
36,368,127,128,False
37,886,293,512,False
38,1142,377,512,False
39,762,249,512,False
40,1032,340,512,False
41,468,152,256,False
42,368,118,128,False
43,1106,363,512,False
44,1080,358,512,False
45,560,187,256,False
46,1948,651,1024,False
47,1264,411,1024,False
48,1018,339,512,False
49,1028,344,512,False
50,1084,353,512,False
51,892,293,512,False
52,556,188,256,False
53,872,289,512,False
54,856,291,512,False
55,1130,381,512,False
56,1072,366,512,False
57,1048,349,512,False
58,306,98,128,False
59,700,230,512,False
60,456,151,256,False
61,874,281,512,False
62,1036,339,512,False
63,694,243,512,False
64,578,192,256,False
65,1074,354,512,False
66,1308,433,1024,False
67,938,305,512,False
68,1104,378,512,False
69,1070,359,512,False
70,790,269,512,False
71,570,187,256,False
72,1044,343,512,False
73,1004,338,512,False
74,894,303,512,False
75,1074,354,512,False
76,1524,511,1024,False
77,972,323,512,False
78,990,326,512,False
79,552,186,256,False
80,1044,340,512,False
81,1158,379,512,False
82,1028,338,512,False
83,580,192,256,False
84,532,170,256,False
85,966,311,512,False
86,1098,352,512,False
87,874,291,512,False
88,934,320,512,False
89,772,256,512,False
90,746,238,512,False
91,546,179,256,False
92,938,309,512,False
93,604,204,256,False
94,364,119,128,False
95,942,311,512,False
96,640,215,512,False
97,1396,468,1024,False
98,1006,340,512,False
99,490,162,256,False
100,582,192,256,False
101,1462,483,1024,False
102,1514,500,1024,False
103,594,192,256,False
104,796,264,512,False
105,850,276,512,False
106,804,266,512,False
107,1364,458,1024,False
108,1082,354,512,False
109,858,289,512,False
110,1106,366,512,False
111,832,272,512,False
112,1348,452,1024,False
113,556,181,256,False
114,614,203,256,False
115,1074,366,512,False
116,888,301,512,False
117,740,244,512,False
118,586,198,256,False
119,1036,350,512,False
120,998,310,512,False
121,928,305,512,False
122,1488,481,1024,False
123,972,314,512,False
124,590,193,256,False
125,568,197,256,False
126,586,199,256,False
127,1010,338,512,False
128,732,242,512,False
129,302,95,128,False
130,1572,529,1024,False
131,1062,357,512,False
132,1064,348,512,False
133,824,277,512,False
134,1026,338,512,False
135,1092,361,512,False
136,802,262,512,False
137,558,184,256,False
138,612,194,256,False
139,1086,352,512,False
140,1082,350,512,False
141,824,275,512,False
142,588,186,256,False
143,586,190,256,False
144,848,287,512,False
145,802,271,512,False
146,546,178,256,False
147,1072,352,512,False
148,814,265,512,False
149,614,210,256,False
150,1380,446,1024,False
151,624,209,256,False
152,550,185,256,False
153,376,126,128,False
154,386,131,256,False
155,852,276,512,False
156,828,265,512,False
157,318,105,128,False
158,438,148,256,False
159,362,119,128,False
160,1020,327,512,False
161,958,318,512,False
162,580,191,256,False
163,926,307,512,False
164,1760,580,1024,False
165,666,221,512,False
166,384,116,128,False
167,818,266,512,False
168,566,184,256,False
169,444,142,256,False
170,1046,341,512,False
171,582,197,256,False
172,986,326,512,False
173,1722,571,1024,False
174,634,207,256,False
175,596,204,256,False
176,728,239,512,False
177,1042,340,512,False
178,1482,493,1024,False
179,1052,346,512,False
180,356,111,128,False
181,838,276,512,False
182,950,314,512,False
183,1154,391,512,False
184,1542,522,1024,False
185,860,289,512,False
186,554,184,256,False
187,1008,323,512,False
188,812,266,512,False
189,1022,336,512,False
190,1052,347,512,False
191,828,273,512,False
192,558,189,256,False
193,174,57,64,False
194,1354,450,1024,False
195,546,182,256,False
196,814,275,512,False
197,578,189,256,False
198,590,189,256,False
199,760,259,512,False
200,1056,346,512,False
201,578,185,256,False
202,558,184,256,False
203,680,216,256,False
204,848,279,512,False
205,712,239,512,False
206,1506,495,1024,False
207,838,283,512,False
208,936,311,512,False
209,1028,341,512,False
210,1012,323,512,False
211,552,185,256,False
212,476,163,256,False
213,1274,424,1024,False
214,478,160,256,False
215,818,269,512,False
216,1512,506,1024,False
217,570,190,256,False
218,972,321,512,False
219,894,290,512,False
220,936,313,512,False
221,824,274,512,False
222,840,279,512,False
223,508,170,256,False
224,586,191,256,False
225,1094,374,512,False
226,998,324,512,False
227,564,185,256,False
228,512,168,256,False
229,1038,350,512,False
230,834,275,512,False
231,756,247,512,False
232,984,333,512,False
233,400,132,256,False
234,846,288,512,False
235,906,298,512,False
236,570,191,256,False
237,820,275,512,False
238,590,191,256,False
239,1522,516,1024,False
240,460,147,256,False
241,1440,486,1024,False
242,1014,345,512,False
243,974,321,512,False
244,528,175,256,False
245,990,319,512,False
246,1020,333,512,False
247,1094,363,512,False
248,514,170,256,False
249,1084,352,512,False
250,1594,536,1024,False
251,1640,546,1024,False
252,828,276,512,False
253,846,283,512,False
254,1020,334,512,False
255,668,225,256,False
256,1004,328,512,False
257,1668,545,1024,False
258,560,176,256,False
259,2058,684,1024,False
260,1646,562,1024,False
261,578,194,256,False
262,1816,611,1024,False
263,1032,348,512,False
264,416,143,256,False
265,1024,341,512,False
266,1002,326,512,False
267,1036,341,512,False
268,572,190,256,False
269,618,202,256,False
270,1104,359,512,False
271,520,172,256,False
272,1372,455,1024,False
273,1032,337,512,False
274,246,77,128,False
275,808,266,512,False
276,1200,394,1024,False
277,926,303,512,False
278,302,98,128,False
279,976,322,512,False
280,790,262,512,False
281,914,309,512,False
282,408,139,256,False
283,638,217,256,False
284,1020,333,512,False
285,1740,576,1024,False
286,806,266,512,False
287,440,144,256,False
288,616,205,256,False
289,652,217,512,False
290,1120,373,512,False
291,732,234,512,False
292,506,167,256,False
293,558,187,256,False
294,998,340,512,False
295,1076,356,512,False
296,576,192,256,False
297,578,192,256,False
298,614,194,256,False
299,540,177,256,False
300,774,265,512,False
301,830,276,512,False
302,942,314,512,False
