Run Number,Score,Move Count,Max Tile,Win
1,290,101,128,False
2,586,191,256,False
3,516,172,256,False
4,970,329,512,False
5,964,318,512,False
6,550,177,256,False
7,682,224,256,False
8,1076,355,512,False
9,462,147,256,False
10,1020,329,512,False
11,568,190,256,False
12,580,188,256,False
13,506,164,256,False
14,976,319,512,False
15,598,199,256,False
16,616,197,256,False
17,1084,358,512,False
18,612,207,256,False
19,636,206,256,False
20,548,184,256,False
21,796,275,512,False
22,554,179,256,False
23,568,184,256,False
24,742,242,512,False
25,898,295,512,False
26,1594,531,1024,False
27,1596,520,1024,False
28,450,144,256,False
29,1210,406,1024,False
30,1654,567,1024,False
31,1082,361,512,False
32,838,274,512,False
33,934,311,512,False
34,608,208,256,False
35,1056,359,512,False
36,366,119,128,False
37,1042,338,512,False
38,844,287,512,False
39,576,200,256,False
40,918,296,512,False
41,1360,445,1024,False
42,566,185,256,False
43,832,275,512,False
44,1024,353,512,False
45,998,336,512,False
46,410,137,128,False
47,546,177,256,False
48,1564,525,1024,False
49,868,285,512,False
50,552,183,256,False
51,282,86,128,False
52,494,160,256,False
53,930,300,512,False
54,1558,525,1024,False
55,558,185,256,False
56,1062,352,512,False
57,1462,497,1024,False
58,1344,448,1024,False
59,996,324,512,False
60,1016,335,512,False
61,534,175,256,False
62,908,300,512,False
63,1064,358,512,False
64,940,328,512,False
65,314,105,128,False
66,1072,359,512,False
67,452,154,256,False
68,828,269,512,False
69,760,252,512,False
70,1028,352,512,False
71,590,198,256,False
72,552,180,256,False
73,192,70,64,False
74,1538,501,1024,False
75,604,199,256,False
76,1028,341,512,False
77,546,182,256,False
78,344,110,128,False
79,722,238,512,False
80,872,277,512,False
81,1856,622,1024,False
82,926,303,512,False
83,1026,331,512,False
84,582,187,256,False
85,1046,351,512,False
86,1114,364,512,False
87,1044,351,512,False
88,564,193,256,False
89,628,207,256,False
90,944,317,512,False
91,1240,413,512,False
92,1800,609,1024,False
93,1286,413,1024,False
94,542,179,256,False
95,834,269,512,False
96,986,328,512,False
97,1014,333,512,False
98,1350,439,1024,False
99,680,222,256,False
100,890,297,512,False
101,304,97,128,False
102,950,303,512,False
103,962,313,512,False
104,388,134,128,False
105,940,309,512,False
106,1014,329,512,False
107,828,282,512,False
108,792,261,512,False
109,826,277,512,False
110,1058,350,512,False
111,1060,351,512,False
112,832,276,512,False
113,1098,373,512,False
114,1010,335,512,False
115,464,145,256,False
116,724,242,512,False
117,1828,589,1024,False
118,422,135,256,False
119,812,271,512,False
120,564,182,256,False
121,950,320,512,False
122,874,282,512,False
123,550,189,256,False
124,944,301,512,False
125,476,161,256,False
126,324,101,128,False
127,488,164,256,False
128,608,204,256,False
129,572,185,256,False
130,892,288,512,False
131,518,176,256,False
132,726,237,512,False
133,570,195,256,False
134,570,180,256,False
135,522,179,256,False
136,588,192,256,False
137,1552,513,1024,False
138,1038,339,512,False
139,1230,415,1024,False
140,588,203,256,False
141,702,238,512,False
142,536,176,256,False
143,1088,358,512,False
144,838,286,512,False
145,1510,498,1024,False
146,1050,359,512,False
147,798,268,512,False
148,356,119,128,False
149,1014,332,512,False
150,1092,358,512,False
151,286,100,128,False
152,774,263,512,False
153,1052,362,512,False
154,854,284,512,False
155,850,283,512,False
156,516,171,256,False
157,592,195,256,False
158,806,263,512,False
159,504,169,256,False
160,1028,337,512,False
161,988,327,512,False
162,576,190,256,False
163,604,210,256,False
164,966,311,512,False
165,1046,346,512,False
166,610,193,256,False
167,1470,492,1024,False
168,552,185,256,False
169,1092,365,512,False
170,568,182,256,False
171,1184,403,512,False
172,830,277,512,False
173,866,289,512,False
174,612,196,256,False
175,554,187,256,False
176,780,257,512,False
177,564,186,256,False
178,1028,346,512,False
179,580,184,256,False
180,1056,347,512,False
181,814,270,512,False
182,1018,349,512,False
183,884,284,512,False
184,508,161,256,False
185,932,305,512,False
186,1002,325,512,False
187,498,167,256,False
188,1458,479,1024,False
189,1060,351,512,False
190,1068,359,512,False
191,476,157,256,False
192,320,102,128,False
193,1374,450,1024,False
194,1136,364,512,False
195,1858,623,1024,False
196,1068,349,512,False
197,926,310,512,False
198,860,282,512,False
199,982,324,512,False
200,1118,368,512,False
201,792,269,512,False
202,508,171,256,False
203,1008,339,512,False
204,1072,360,512,False
205,784,259,512,False
206,1010,336,512,False
207,1110,369,512,False
208,466,157,256,False
209,1030,340,512,False
210,1076,349,512,False
211,580,192,256,False
212,974,324,512,False
213,1058,349,512,False
214,1058,358,512,False
215,544,172,256,False
216,1064,362,512,False
217,1078,364,512,False
218,314,105,128,False
219,598,199,256,False
220,560,174,256,False
221,1188,392,512,False
222,860,288,512,False
223,566,181,256,False
224,982,318,512,False
225,980,335,512,False
226,584,189,256,False
227,618,205,256,False
228,828,267,512,False
229,322,107,128,False
230,374,120,128,False
231,1076,353,512,False
232,576,204,256,False
233,492,161,256,False
234,1510,496,1024,False
235,806,273,512,False
236,552,186,256,False
237,568,191,256,False
238,558,182,256,False
239,534,175,256,False
240,900,287,512,False
241,780,254,512,False
242,868,283,512,False
243,1044,346,512,False
244,984,329,512,False
245,1028,343,512,False
246,1132,379,512,False
247,1558,527,1024,False
248,950,316,512,False
249,650,221,256,False
250,928,310,512,False
