Run Number,Score,Move Count,Max Tile,Win
1,432,137,256,False
2,522,168,256,False
3,270,89,128,False
4,366,123,128,False
5,560,185,256,False
6,296,95,128,False
7,194,65,64,False
8,270,91,128,False
9,562,178,256,False
10,840,271,512,False
11,418,141,256,False
12,330,108,128,False
13,446,143,256,False
14,298,96,128,False
15,440,140,256,False
16,304,101,128,False
17,300,91,128,False
18,320,108,128,False
19,326,103,128,False
20,216,65,64,False
21,542,173,256,False
22,338,115,128,False
23,338,116,128,False
24,356,115,128,False
25,440,146,256,False
26,672,226,512,False
27,342,113,128,False
28,468,161,256,False
29,384,126,128,False
30,260,87,128,False
31,520,171,256,False
32,880,293,512,False
33,184,59,64,False
34,196,65,64,False
35,788,261,512,False
36,404,125,256,False
37,470,143,256,False
38,270,84,128,False
39,150,47,32,False
40,300,101,128,False
41,574,193,256,False
42,400,128,256,False
43,300,95,128,False
44,318,107,128,False
45,338,111,128,False
46,162,54,64,False
47,272,86,128,False
48,330,102,128,False
49,480,158,256,False
50,330,112,128,False
51,624,203,256,False
52,430,143,256,False
53,396,131,256,False
54,596,195,256,False
55,312,102,128,False
56,772,251,512,False
57,498,171,256,False
58,454,149,256,False
59,296,97,128,False
60,234,74,128,False
61,246,79,64,False
62,236,74,64,False
63,172,52,64,False
64,248,85,64,False
65,432,135,256,False
66,304,103,128,False
67,506,163,256,False
68,244,79,64,False
69,690,228,256,False
70,436,145,256,False
71,490,166,256,False
72,592,203,256,False
73,356,116,128,False
74,342,108,128,False
75,278,89,128,False
76,202,65,64,False
77,228,77,128,False
78,290,94,128,False
79,710,236,512,False
80,228,76,64,False
81,220,73,64,False
82,294,100,128,False
83,450,145,256,False
84,316,108,128,False
85,422,145,256,False
86,318,100,128,False
87,236,77,128,False
88,326,104,128,False
89,420,145,256,False
90,522,168,256,False
91,196,62,64,False
92,456,159,128,False
93,372,119,128,False
94,278,94,64,False
95,354,114,128,False
96,572,195,256,False
97,234,72,64,False
98,332,106,128,False
99,164,52,64,False
100,466,154,128,False
101,280,86,128,False
102,532,167,256,False
