Run Number,Score,Move Count,Max Tile,Win
1,540,183,256,False
2,472,156,256,False
3,680,214,256,False
4,934,306,512,False
5,752,253,512,False
6,386,121,128,False
7,328,104,128,False
8,340,110,128,False
9,430,142,256,False
10,432,142,256,False
11,406,135,256,False
12,480,157,256,False
13,234,73,64,False
14,460,156,256,False
15,544,177,256,False
16,248,81,128,False
17,324,99,128,False
18,244,75,64,False
19,756,250,512,False
20,338,112,128,False
21,554,183,256,False
22,592,195,256,False
23,330,109,128,False
24,480,155,256,False
25,380,126,256,False
26,372,122,256,False
27,268,85,128,False
28,254,90,64,False
29,288,91,64,False
30,286,91,64,False
31,228,70,128,False
32,438,148,256,False
33,468,154,256,False
34,332,111,128,False
35,422,135,128,False
36,532,169,256,False
37,414,136,256,False
38,228,72,64,False
39,402,137,128,False
40,302,97,128,False
41,560,178,256,False
42,356,118,128,False
43,282,85,128,False
44,500,162,256,False
45,452,146,256,False
46,192,64,64,False
47,206,70,64,False
48,306,103,128,False
49,312,106,128,False
50,400,128,256,False
51,492,170,256,False
52,770,251,512,False
53,448,147,256,False
54,288,100,128,False
55,596,191,256,False
56,528,168,256,False
57,512,169,256,False
58,236,78,64,False
59,438,144,256,False
60,188,60,64,False
61,564,185,256,False
62,442,146,128,False
63,482,165,256,False
64,578,196,256,False
65,462,152,256,False
66,512,165,256,False
67,190,65,64,False
68,560,184,256,False
69,542,178,256,False
70,202,65,64,False
71,328,113,128,False
72,360,117,128,False
73,326,104,128,False
74,510,164,256,False
75,404,136,256,False
76,460,148,128,False
77,476,161,256,False
78,202,66,64,False
79,332,109,128,False
80,204,62,64,False
81,324,100,128,False
82,432,141,256,False
83,444,149,256,False
84,576,183,256,False
85,310,99,128,False
86,194,60,64,False
87,580,185,256,False
88,312,104,128,False
89,200,62,32,False
90,212,66,64,False
91,536,171,256,False
92,446,154,256,False
93,362,126,128,False
94,592,201,256,False
95,564,182,256,False
96,478,151,256,False
97,348,114,128,False
98,558,186,256,False
99,580,189,512,False
100,268,81,128,False
101,572,192,256,False
102,358,123,256,False
103,264,82,128,False
104,532,178,256,False
105,694,226,512,False
106,268,91,128,False
107,350,115,128,False
108,506,167,256,False
109,738,242,512,False
110,536,184,256,False
111,354,119,128,False
112,284,92,128,False
113,216,70,64,False
114,308,96,128,False
115,560,186,256,False
116,346,106,128,False
117,576,193,256,False
118,304,102,128,False
119,516,182,256,False
120,338,116,128,False
121,316,99,128,False
122,438,150,256,False
123,566,184,256,False
124,304,97,128,False
125,564,187,256,False
126,352,111,128,False
127,230,74,64,False
128,160,55,64,False
129,424,140,256,False
130,528,174,256,False
131,332,113,128,False
132,520,172,256,False
133,298,94,128,False
134,610,207,256,False
135,458,147,256,False
136,472,149,256,False
137,426,135,256,False
138,360,110,128,False
139,648,213,256,False
140,448,142,256,False
141,220,71,64,False
142,370,118,128,False
143,358,119,256,False
144,550,181,256,False
145,358,120,128,False
146,568,192,256,False
147,422,138,256,False
148,254,80,64,False
149,252,81,64,False
150,212,66,128,False
151,412,136,256,False
152,232,75,64,False
153,484,160,256,False
154,452,143,256,False
155,450,149,256,False
156,462,152,256,False
157,558,182,256,False
158,466,147,256,False
159,308,104,128,False
160,466,154,256,False
161,208,67,64,False
162,242,76,64,False
163,232,74,64,False
164,394,128,256,False
165,192,63,64,False
166,476,158,256,False
167,300,92,128,False
168,244,75,64,False
169,216,65,64,False
170,354,117,128,False
171,428,140,256,False
172,386,128,128,False
173,338,116,128,False
174,508,166,256,False
175,256,85,128,False
176,384,128,256,False
177,570,183,256,False
178,196,61,64,False
179,174,57,64,False
180,328,113,128,False
181,486,164,256,False
182,256,85,128,False
183,178,56,64,False
184,124,43,32,False
185,440,142,256,False
186,320,102,128,False
187,334,114,128,False
188,570,196,256,False
189,510,170,256,False
190,330,112,128,False
191,316,103,128,False
192,276,96,128,False
193,502,169,256,False
194,638,209,256,False
195,190,56,64,False
196,232,75,64,False
197,222,70,128,False
198,214,69,64,False
199,272,86,128,False
200,454,149,256,False
201,304,97,128,False
202,528,171,256,False
203,512,169,256,False
204,518,180,256,False
205,378,132,128,False
206,272,89,128,False
207,316,110,128,False
208,462,147,256,False
209,700,232,512,False
210,452,138,256,False
211,570,187,256,False
212,372,120,128,False
213,610,203,256,False
214,138,51,64,False
215,248,82,64,False
216,302,94,128,False
217,766,250,512,False
218,138,48,32,False
219,272,88,128,False
220,560,179,256,False
221,298,97,64,False
222,550,178,256,False
223,480,157,256,False
224,460,144,256,False
225,530,177,256,False
226,570,188,256,False
227,186,60,64,False
228,514,174,256,False
229,384,131,256,False
230,168,55,64,False
231,462,152,256,False
232,192,57,64,False
233,596,190,256,False
234,460,153,256,False
235,214,72,64,False
236,392,130,256,False
237,302,96,128,False
238,312,105,128,False
239,554,182,256,False
240,352,116,128,False
241,428,144,256,False
242,340,110,128,False
243,538,176,256,False
244,414,135,256,False
245,592,202,256,False
246,370,123,128,False
247,530,184,256,False
248,364,117,128,False
249,614,203,256,False
250,214,68,64,False
