Run Number,Score,Move Count,Max Tile,Win
1,202,79,64,False
2,140,48,32,False
3,162,60,64,False
4,298,107,128,False
5,208,86,64,False
6,212,74,64,False
7,244,96,64,False
8,220,83,64,False
9,234,91,64,False
10,200,69,64,False
11,154,59,64,False
12,188,61,32,False
13,124,48,32,False
14,260,99,128,False
15,170,55,64,False
16,174,62,64,False
17,260,97,128,False
18,134,45,32,False
19,218,87,64,False
20,172,63,64,False
21,186,79,64,False
22,130,47,32,False
23,156,60,32,False
24,136,46,32,False
25,162,50,64,False
26,154,56,64,False
27,236,97,64,False
28,302,107,128,False
29,258,98,128,False
30,138,57,32,False
31,236,84,64,False
32,200,85,64,False
33,158,56,64,False
34,116,36,16,False
35,128,52,32,False
36,308,113,128,False
37,196,70,64,False
38,338,133,128,False
39,156,56,32,False
40,140,56,32,False
41,272,109,64,False
42,112,46,32,False
43,152,67,32,False
44,196,77,64,False
45,276,103,128,False
46,256,83,64,False
47,324,122,128,False
48,196,73,64,False
49,192,79,64,False
50,274,104,128,False
51,288,101,128,False
52,162,62,32,False
53,306,105,128,False
54,312,116,128,False
55,188,70,32,False
56,242,95,64,False
57,298,110,128,False
58,124,38,32,False
59,144,51,32,False
60,144,68,32,False
61,194,71,64,False
62,214,80,64,False
63,274,105,64,False
64,408,162,256,False
65,240,96,128,False
66,204,74,64,False
67,202,72,64,False
68,180,73,64,False
69,198,75,64,False
70,210,81,64,False
71,210,76,64,False
72,216,93,64,False
73,214,77,64,False
74,198,86,64,False
75,282,92,64,False
76,194,71,64,False
77,284,110,128,False
78,216,85,64,False
79,300,108,128,False
80,276,110,64,False
81,336,130,128,False
82,260,105,128,False
83,208,68,64,False
84,180,69,32,False
85,132,57,32,False
86,156,67,32,False
87,168,63,64,False
88,208,81,64,False
89,264,112,64,False
90,236,96,128,False
91,282,108,128,False
92,172,57,64,False
93,250,89,64,False
94,268,93,64,False
95,194,90,64,False
96,230,88,64,False
97,148,49,64,False
98,230,87,64,False
99,230,93,64,False
100,178,62,64,False
101,310,113,128,False
102,158,62,32,False
103,230,86,64,False
104,196,73,64,False
105,218,89,64,False
106,190,75,64,False
107,218,83,64,False
108,232,82,128,False
109,166,63,32,False
110,284,107,128,False
111,234,88,64,False
112,156,60,32,False
113,316,114,128,False
114,178,65,32,False
115,172,69,32,False
116,200,74,64,False
117,202,72,64,False
118,196,77,32,False
119,174,75,64,False
120,230,86,64,False
121,244,80,128,False
122,192,63,64,False
123,244,98,64,False
124,146,52,32,False
125,146,49,32,False
126,138,53,32,False
127,206,78,64,False
128,194,67,64,False
129,174,64,32,False
130,232,99,64,False
131,204,78,64,False
132,244,95,64,False
133,272,110,128,False
134,198,73,64,False
135,186,78,64,False
136,136,49,32,False
137,134,54,32,False
138,112,41,32,False
139,296,103,128,False
140,202,72,64,False
141,202,72,64,False
142,270,99,128,False
143,162,53,64,False
144,158,62,32,False
145,298,128,128,False
146,320,126,128,False
147,190,79,64,False
148,220,81,64,False
149,108,36,16,False
150,224,89,64,False
151,204,71,64,False
152,214,71,64,False
153,166,84,64,False
154,200,72,64,False
155,184,66,64,False
156,186,69,64,False
157,194,78,64,False
158,130,44,32,False
159,236,87,64,False
160,200,66,64,False
161,194,75,64,False
162,258,92,128,False
163,188,68,64,False
164,192,78,64,False
165,316,106,128,False
166,156,58,32,False
167,202,72,64,False
168,254,91,128,False
169,174,58,64,False
170,228,88,64,False
171,192,73,64,False
172,216,69,64,False
173,142,58,32,False
174,164,75,32,False
175,154,54,32,False
176,178,65,64,False
177,290,110,128,False
178,178,64,64,False
179,212,68,64,False
180,178,69,64,False
181,244,93,64,False
182,152,55,32,False
183,138,51,32,False
184,198,66,64,False
185,192,75,64,False
186,234,96,64,False
187,250,87,64,False
188,234,83,64,False
189,122,44,32,False
190,256,97,64,False
191,208,74,64,False
192,186,65,64,False
193,110,42,32,False
194,182,81,64,False
195,320,131,128,False
196,208,87,64,False
197,220,76,64,False
198,128,51,32,False
199,142,52,32,False
200,248,92,64,False
201,118,56,32,False
202,250,102,128,False
203,248,102,128,False
204,270,101,128,False
205,120,44,32,False
206,302,109,128,False
207,350,138,128,False
208,162,69,32,False
209,158,64,32,False
210,178,69,64,False
211,404,155,128,False
212,264,115,64,False
213,192,72,32,False
214,180,75,32,False
215,302,128,128,False
216,238,94,64,False
217,226,89,64,False
218,172,62,32,False
219,190,81,64,False
220,148,57,32,False
221,118,46,32,False
222,224,86,64,False
223,196,70,64,False
224,190,71,64,False
225,138,54,32,False
226,256,105,64,False
227,172,64,64,False
228,268,99,128,False
229,192,71,64,False
230,274,103,128,False
231,220,86,64,False
232,200,79,64,False
233,194,70,64,False
234,262,104,64,False
235,338,125,128,False
236,222,86,64,False
237,248,83,64,False
238,186,74,32,False
239,260,113,128,False
240,222,84,64,False
241,230,79,64,False
242,128,50,64,False
243,254,106,128,False
244,240,86,64,False
245,210,73,64,False
246,180,66,64,False
247,280,104,128,False
248,196,73,64,False
249,270,102,128,False
250,322,115,128,False
251,170,65,32,False
252,212,70,64,False
253,226,84,64,False
254,124,39,32,False
255,262,99,128,False
256,248,93,128,False
257,198,71,64,False
258,164,54,64,False
259,152,58,32,False
260,188,69,64,False
261,292,105,64,False
262,192,76,64,False
263,174,67,64,False
264,296,108,128,False
265,322,115,128,False
266,286,113,128,False
267,218,92,64,False
268,268,96,64,False
269,212,83,64,False
270,280,102,128,False
271,174,65,64,False
272,210,80,64,False
273,226,81,64,False
274,260,99,128,False
275,194,71,64,False
276,176,62,64,False
277,96,32,16,False
278,158,59,32,False
279,172,71,64,False
280,176,65,64,False
281,154,56,32,False
282,312,108,128,False
283,216,84,64,False
284,258,99,128,False
285,134,53,32,False
286,284,104,128,False
287,264,96,128,False
288,112,39,16,False
289,240,88,64,False
290,278,100,128,False
291,198,67,64,False
292,298,104,128,False
293,192,75,32,False
294,396,164,256,False
295,254,92,64,False
296,210,73,64,False
297,266,101,128,False
298,168,60,32,False
299,312,121,128,False
300,184,76,32,False
301,224,88,64,False
302,252,103,64,False
303,196,68,64,False
304,174,69,64,False
305,484,193,256,False
306,234,88,64,False
307,200,65,64,False
308,186,67,64,False
309,116,43,32,False
310,230,87,64,False
311,222,77,64,False
312,146,50,32,False
313,282,101,64,False
314,332,128,128,False
315,204,71,64,False
316,208,74,64,False
317,144,54,32,False
318,132,51,32,False
319,244,88,64,False
320,200,74,32,False
321,206,81,64,False
322,200,66,64,False
323,150,64,32,False
324,160,68,32,False
325,212,75,64,False
326,198,76,64,False
327,240,87,64,False
328,402,173,128,False
329,198,74,64,False
330,128,50,32,False
331,214,80,64,False
332,122,43,32,False
333,106,37,16,False
334,332,127,128,False
335,172,59,32,False
336,198,67,64,False
337,122,44,16,False
338,234,85,128,False
339,150,52,32,False
340,234,104,64,False
341,222,87,64,False
342,250,84,128,False
343,410,166,256,False
344,338,131,128,False
345,288,113,128,False
346,192,72,64,False
347,164,65,64,False
348,174,64,32,False
349,100,42,16,False
350,186,68,64,False
351,148,50,32,False
352,136,47,32,False
353,150,57,32,False
354,168,62,64,False
355,156,70,32,False
356,342,137,128,False
357,114,34,32,False
358,152,59,32,False
359,214,73,64,False
360,166,57,64,False
361,306,115,128,False
362,170,66,32,False
363,348,148,128,False
364,172,68,64,False
365,256,89,64,False
366,184,67,64,False
367,252,102,64,False
368,218,74,64,False
369,198,81,64,False
370,192,75,64,False
371,138,55,32,False
372,190,64,64,False
373,274,113,128,False
374,160,56,64,False
375,174,62,64,False
376,194,75,64,False
377,150,50,32,False
378,244,96,64,False
379,296,117,128,False
380,244,90,64,False
381,202,74,64,False
382,292,102,128,False
383,150,60,32,False
384,128,49,16,False
385,184,63,64,False
386,200,80,64,False
387,152,59,32,False
388,206,77,64,False
389,250,103,128,False
390,150,55,32,False
391,170,66,64,False
392,138,51,32,False
393,244,93,64,False
394,206,80,64,False
395,296,110,128,False
396,148,61,64,False
397,156,53,64,False
398,148,56,32,False
399,256,105,64,False
400,232,97,64,False
401,130,46,32,False
402,232,92,64,False
403,174,74,32,False
404,150,54,32,False
405,184,62,64,False
406,122,43,32,False
407,254,84,128,False
408,208,77,64,False
409,262,90,128,False
410,214,80,64,False
411,196,76,64,False
412,178,68,64,False
413,150,52,64,False
414,190,70,64,False
415,152,52,64,False
416,176,65,64,False
417,218,95,64,False
418,204,70,64,False
419,244,92,128,False
420,264,115,64,False
421,294,111,128,False
422,170,73,32,False
423,260,100,128,False
424,244,92,64,False
425,260,97,128,False
426,260,93,64,False
