Run Number,Score,Move Count,Max Tile,Win
1,152,59,32,False
2,204,83,64,False
3,188,63,64,False
4,162,60,64,False
5,288,103,128,False
6,232,90,128,False
7,252,120,64,False
8,198,71,32,False
9,164,63,32,False
10,308,113,64,False
11,264,100,128,False
12,134,51,32,False
13,198,72,64,False
14,170,70,32,False
15,130,44,32,False
16,176,71,32,False
17,256,101,128,False
18,118,42,32,False
19,206,78,64,False
20,234,89,128,False
21,144,53,32,False
22,236,81,64,False
23,192,73,64,False
24,252,103,64,False
25,182,83,64,False
26,220,76,64,False
27,306,120,128,False
28,208,77,64,False
29,164,60,32,False
30,244,90,64,False
31,148,51,64,False
32,212,92,64,False
33,168,74,32,False
34,254,90,64,False
35,150,49,32,False
36,266,102,128,False
37,228,98,64,False
38,302,112,64,False
39,284,109,128,False
40,190,68,64,False
41,202,71,64,False
42,190,66,64,False
43,148,58,32,False
44,226,79,64,False
45,300,118,128,False
46,230,83,128,False
47,334,121,128,False
48,242,80,64,False
49,338,124,128,False
50,96,42,16,False
51,206,70,64,False
52,172,66,64,False
53,330,131,128,False
54,210,77,64,False
55,228,90,128,False
56,178,63,64,False
57,294,105,128,False
58,254,99,64,False
59,324,118,128,False
60,176,63,64,False
61,154,55,32,False
62,160,56,32,False
63,218,86,64,False
64,146,56,32,False
65,222,83,64,False
66,236,83,64,False
67,226,93,64,False
68,218,98,64,False
69,194,69,64,False
70,228,87,64,False
71,224,84,64,False
72,198,77,32,False
73,278,96,128,False
74,164,59,64,False
75,260,103,64,False
76,162,56,32,False
77,162,63,32,False
78,216,73,64,False
79,230,89,64,False
80,174,65,32,False
81,254,101,128,False
82,174,65,32,False
83,210,82,64,False
84,272,97,64,False
85,284,106,128,False
86,278,106,128,False
87,204,73,64,False
88,182,65,64,False
89,174,66,64,False
90,146,51,64,False
91,184,63,64,False
92,176,65,64,False
93,132,53,32,False
94,154,52,32,False
95,124,48,32,False
96,190,66,64,False
97,180,64,64,False
98,166,56,64,False
99,120,40,32,False
100,140,50,32,False
101,190,74,64,False
102,306,124,128,False
103,176,65,64,False
104,164,59,64,False
105,108,41,32,False
106,234,109,64,False
107,196,70,64,False
108,184,70,64,False
109,274,102,128,False
110,138,49,32,False
111,148,51,32,False
112,298,108,128,False
113,262,97,128,False
114,200,74,64,False
115,232,81,64,False
116,256,82,64,False
117,182,70,64,False
118,256,100,128,False
119,176,68,64,False
120,200,68,64,False
121,146,57,32,False
122,246,99,64,False
123,178,65,64,False
124,162,62,32,False
125,158,62,64,False
126,326,111,128,False
127,150,54,32,False
128,184,67,64,False
129,322,120,128,False
130,260,100,64,False
131,276,97,128,False
132,242,91,64,False
133,182,62,64,False
134,206,65,64,False
135,222,85,64,False
136,248,95,64,False
137,150,55,32,False
138,208,80,64,False
139,208,72,64,False
140,208,75,64,False
141,176,70,64,False
142,316,124,128,False
143,164,57,32,False
144,176,69,32,False
145,222,89,64,False
146,278,103,128,False
147,270,103,64,False
148,272,92,128,False
149,142,51,64,False
150,272,99,128,False
151,196,79,64,False
152,174,65,64,False
153,208,74,64,False
154,262,105,64,False
155,132,45,64,False
156,128,48,32,False
157,166,63,64,False
158,196,78,64,False
159,310,120,128,False
160,364,137,128,False
161,296,116,128,False
162,248,96,64,False
163,150,56,64,False
164,262,84,64,False
165,210,78,64,False
166,260,96,64,False
167,200,68,64,False
168,200,72,64,False
169,174,56,64,False
170,206,83,64,False
171,166,66,64,False
172,190,70,64,False
173,242,90,128,False
174,270,97,128,False
175,228,78,64,False
176,182,59,64,False
177,196,72,64,False
178,130,49,32,False
179,174,63,64,False
180,200,82,64,False
181,236,92,64,False
182,208,73,64,False
183,124,52,32,False
184,240,97,64,False
185,116,48,32,False
186,250,91,128,False
187,240,85,64,False
188,126,45,32,False
189,130,48,32,False
190,308,111,128,False
191,126,42,32,False
192,184,60,64,False
193,166,61,64,False
194,178,73,32,False
195,316,123,128,False
196,174,59,32,False
197,298,113,128,False
198,180,67,64,False
199,200,89,64,False
200,166,65,64,False
201,276,111,128,False
202,196,81,64,False
203,218,83,128,False
204,162,56,32,False
205,114,36,32,False
206,114,44,32,False
207,112,35,16,False
208,244,91,64,False
209,212,84,64,False
210,234,89,128,False
211,222,86,64,False
212,122,36,32,False
213,144,46,32,False
214,204,74,64,False
215,146,61,32,False
216,214,83,64,False
217,210,77,64,False
218,392,137,128,False
219,160,61,32,False
220,220,86,64,False
221,202,93,64,False
222,204,86,128,False
223,158,58,64,False
224,196,86,64,False
225,172,67,64,False
226,270,91,128,False
227,174,74,64,False
228,232,98,64,False
229,220,94,64,False
230,250,96,64,False
231,178,80,64,False
232,154,59,32,False
233,256,86,64,False
234,192,73,64,False
235,180,66,64,False
236,196,72,64,False
237,264,121,128,False
238,162,65,32,False
239,146,57,32,False
240,282,119,128,False
241,212,80,64,False
242,170,58,32,False
243,146,55,32,False
244,190,66,64,False
245,130,49,32,False
246,224,82,64,False
247,204,73,64,False
248,218,81,64,False
249,266,90,128,False
250,252,109,64,False
